id,wip,investissement,satisfaction
0,0,0,0.37516138
1,0,0,0.39261273
2,0,0,0.5801595
3,0,0,0.7667298
4,0,0,0.78022814
5,0,0,0.7884754
6,0,0,0.3384866
7,0,0,0.7942751
8,0,0,0.775964
9,0,0,0.3851671
10,0,0,0.78911185
11,0,0,0.7807628
12,0,0,0.24136472
13,0,0,0.5917531
14,0,0,0.54851234
15,0,0,0.809885
16,0,0,0.84263456
17,0,0,0.58149797
18,0,0,0.7284234
19,0,0,0.62296796
20,0,0,0.7106753
21,0,0,0.48184016
22,0,0,0.6297839
23,0,0,0.6674624
24,0,0,0.73667675
25,0,0,0.606023
26,0,0,0.7073518
27,0,0,0.49851397
28,0,0,0.7927832
29,0,0,0.696747
30,0,0,0.64560235
31,0,0,0.7958854
32,0,0,0.8104513
33,0,0,0.712438
34,0,0,0.8925494
35,0,0,0.62159574
36,0,0,0.8485457
37,0,0,0.9056731
38,0,0,0.49946067
39,0,0,0.28102648
40,0,0,0.8290105
41,0,0,0.71260923
42,0,0,0.78309333
43,0,0,0.45065796
44,0,0,0.8972572
45,0,0,0.850603
46,0,0,0.95938444
47,0,0,0.8933714
48,0,0,0.41491026
49,0,0,0.8383221
50,0,0,0.7707689
51,0,0,0.87548035
52,0,0,0.8490532
53,0,0,0.8056865
54,0,0,0.81690764
55,0,0,0.2504408
56,0,0,0.79076105
57,0,0,0.8473468
58,0,0,0.8097386
59,0,0,0.7215947
60,0,0,0.83078694
61,0,0,0.21946383
62,0,0,0.9012937
63,0,0,0.9123396
64,0,0,0.6458739
65,0,0,0.5718563
66,0,0,0.514417
67,0,0,0.6423922
68,0,0,0.83257514
69,0,0,0.8986348
70,0,0,0.73303396
71,0,0,0.7556316
72,0,0,0.7401745
73,0,0,0.7977288
74,0,0,0.7578792
75,0,0,0.7372049
76,0,0,0.9220271
77,0,0,0.7958827
78,0,0,0.6484746
79,0,0,0.36992463
80,0,0,0.38509494
81,0,0,0.8687015
82,0,0,0.8555274
83,0,0,0.9234313
84,0,0,0.6670205
85,0,0,0.87947494
86,0,0,0.28812706
87,0,0,0.69230145
88,0,0,0.6623448
89,0,0,0.7825583
90,0,0,0.69468373
91,0,0,0.6744716
92,0,0,0.8953261
93,0,0,0.84449106
94,0,0,0.69089776
95,0,0,0.1991431
96,0,0,0.8878589
97,0,0,0.7616467
98,0,0,0.46691138
99,0,0,0.82636815
100,0,0,0.61476815
101,0,0,0.76657593
102,0,0,0.3837326
103,0,0,0.8626786
104,0,0,0.7219212
105,0,0,0.9041895
106,0,0,0.8267195
107,0,0,0.6933874
108,0,0,0.78101844
109,0,0,0.28614092
110,0,0,0.89630634
111,0,0,0.74515206
112,0,0,0.9121573
113,0,0,0.8973592
114,0,0,0.78700936
115,0,0,0.3303965
116,0,0,0.6556566
117,0,0,0.6088745
118,0,0,0.88028055
119,0,0,0.63992995
120,0,0,0.3428312
121,0,0,0.86206985
122,0,0,0.587583
123,0,0,0.6221692
124,0,0,0.7029689
125,0,0,0.76400656
126,0,0,0.7946226
127,0,0,0.77068114
128,0,0,0.88489974
129,0,0,0.76186097
130,0,0,0.57867426
131,0,0,0.34494105
132,0,0,0.3608162
133,0,0,0.8485787
134,0,0,0.6810059
135,0,0,0.21162365
136,0,0,0.82586384
137,0,0,0.7981518
138,0,0,0.26277122
139,0,0,0.8852859
140,0,0,0.42667192
141,0,0,0.26427516
142,0,0,0.7095157
